You entered a buffer length of 20
0.850055, -0.355871, 1.065902; 0.837705, -0.347298, 1.064213; 0.000000, 0.850055; -0.355871, 0.000000; 0.000000, 1.103417
0.862351, -0.362086, 1.065902; 0.850028, -0.354692, 1.065057; 0.000000, 0.862351; -0.362086, 0.000000; 0.000000, 1.103417
0.874646, -0.368300, 1.065902; 0.862337, -0.361496, 1.065479; 0.000000, 0.874646; -0.368300, 0.000000; 0.000000, 1.103417
0.886942, -0.374515, 1.072154; 0.874639, -0.368005, 1.068816; 0.000000, 0.886942; -0.374515, 0.000000; 0.000000, 1.103417
0.893090, -0.386943, 1.078407; 0.883864, -0.377474, 1.073611; 0.000000, 0.893090; -0.386943, 0.000000; 0.000000, 1.103417
0.899238, -0.393158, 1.078407; 0.891551, -0.385316, 1.076009; 0.000000, 0.899238; -0.393158, 0.000000; 0.000000, 1.103417
0.905385, -0.405587, 1.072154; 0.898468, -0.395451, 1.074081; 0.000000, 0.905385; -0.405587, 0.000000; 0.000000, 1.103417
0.905385, -0.411801, 1.072154; 0.901926, -0.403626, 1.073117; 0.000000, 0.905385; -0.411801, 0.000000; 0.000000, 1.103417
0.911533, -0.418016, 1.065902; 0.906729, -0.410821, 1.069509; 0.000000, 0.911533; -0.418016, 0.000000; 0.000000, 1.103417
0.911533, -0.424230, 1.047144; 0.909131, -0.417525, 1.058326; 0.000000, 0.911533; -0.424230, 0.000000; 0.000000, 1.103417
0.911533, -0.430445, 1.034639; 0.910332, -0.423985, 1.046482; 0.000000, 0.911533; -0.430445, 0.000000; 0.000000, 1.103417
0.917681, -0.430445, 1.022134; 0.914006, -0.427215, 1.034308; 0.000000, 0.917681; -0.430445, 0.000000; 0.000000, 1.103417
0.917681, -0.430445, 1.003376; 0.915843, -0.428830, 1.018842; 0.000000, 0.917681; -0.430445, 0.000000; 0.000000, 1.103417
0.923829, -0.430445, 0.984619; 0.919836, -0.429637, 1.001730; 0.000000, 0.923829; -0.430445, 0.000000; 0.000000, 1.103417
0.911533, -0.442874, 0.972114; 0.915684, -0.436255, 0.986921; 0.000000, 0.923829; -0.442874, 0.000000; 0.000000, 1.103417
0.893090, -0.436659, 0.972114; 0.904387, -0.436457, 0.979517; 0.000000, 0.923829; -0.442874, 0.000000; 0.000000, 1.103417
0.880794, -0.455302, 0.965861; 0.892590, -0.445880, 0.972689; 0.000000, 0.923829; -0.455302, 0.000000; 0.000000, 1.103417
0.874646, -0.461517, 0.947104; 0.883618, -0.453698, 0.959896; 0.000000, 0.923829; -0.461517, 0.000000; 0.000000, 1.103417
0.862351, -0.455302, 0.934599; 0.872984, -0.454500, 0.947247; 0.000000, 0.923829; -0.461517, 0.000000; 0.000000, 1.103417
0.856203, -0.455302, 0.915841; 0.864593, -0.454901, 0.931543; 0.000000, 0.923829; -0.461517, 0.000000; 0.000000, 1.103417
0.843907, -0.461517, 0.890831; 0.854250, -0.458209, 0.911186; 0.000000, 0.923829; -0.461517, 0.000000; 0.000000, 1.103417
0.837760, -0.473946, 0.872073; 0.846004, -0.466077, 0.891629; 0.000000, 0.923829; -0.473946, 0.000000; 0.000000, 1.103417
